celebrity_name,season,week,twitter_mentions,instagram_engagement,facebook_shares,youtube_views,sentiment_score,google_search_volume
Brooke Burke,7,4,1714,21857,662,311496,0.761,16.2
Brooke Burke,7,5,1781,27162,699,1314997,0.534,13.0
Brooke Burke,7,6,1952,12838,741,1122853,0.725,16.0
Brooke Burke,7,7,2011,9182,808,1065739,0.395,16.3
Brooke Burke,7,8,2202,28235,880,220909,0.53,15.7
Brooke Burke,7,9,2345,31867,920,904935,0.918,16.0
Brooke Burke,7,10,2333,11614,913,1247751,0.557,16.6
Gilles Marini,8,1,1293,41645,490,1468207,0.383,41.1
Gilles Marini,8,2,1324,14937,550,533558,0.489,47.8
Gilles Marini,8,3,1535,39338,644,243936,0.674,54.4
Gilles Marini,8,4,1576,41770,638,421045,0.649,61.2
Gilles Marini,8,5,1716,67793,724,694072,0.42,55.0
Gilles Marini,8,6,1862,27253,751,3450564,0.325,52.6
Gilles Marini,8,7,1969,40190,812,1885768,0.062,72.4
Gilles Marini,8,8,2020,44456,820,1370922,0.494,64.1
Gilles Marini,8,9,2174,60974,878,155589,0.386,100.9
Gilles Marini,8,10,2273,73687,906,474075,0.407,73.3
Gilles Marini,8,11,2474,82261,977,1212629,0.411,103.9
Denise Richards,8,1,730,5934,254,149703,0.178,43.3
Denise Richards,8,2,784,15369,282,192677,0.047,47.6
Denise Richards,8,3,891,11835,349,331473,-0.006,42.0
David Alan Grier,8,1,876,8839,392,659074,0.28,59.3
David Alan Grier,8,2,969,13669,404,237239,0.304,49.6
David Alan Grier,8,3,1082,14156,401,131478,0.358,73.0
David Alan Grier,8,4,1097,5613,434,549970,0.085,85.4
David Alan Grier,8,5,1218,6328,463,950765,0.554,80.2
Lawrence Taylor,8,1,982,200169,406,241151,0.181,37.4
Lawrence Taylor,8,2,1123,165724,405,110928,0.514,56.2
Lawrence Taylor,8,3,1158,144924,444,853238,0.154,42.5
Lawrence Taylor,8,4,1241,285156,476,318738,0.134,39.5
Lawrence Taylor,8,5,1299,267125,539,905683,0.172,72.9
Lawrence Taylor,8,6,1464,170086,568,332016,0.746,58.4
Lawrence Taylor,8,7,1523,166855,574,395265,0.231,78.7
Ty Murray,8,1,1141,33731,439,643501,-0.014,58.4
Ty Murray,8,2,1247,107665,525,1079899,-0.177,58.8
Ty Murray,8,3,1385,65580,518,220339,0.114,56.7
Ty Murray,8,4,1474,52446,568,238675,0.389,64.9
Ty Murray,8,5,1555,69220,635,446838,0.289,54.9
Ty Murray,8,6,1676,148737,630,205394,0.118,59.0
Ty Murray,8,7,1735,164191,722,826980,0.218,65.4
Ty Murray,8,8,1850,55467,772,296217,0.367,89.5
Ty Murray,8,9,1994,129140,791,369684,0.394,58.7
Ty Murray,8,10,2129,96386,838,1626366,0.653,88.6
Shawn Johnson,8,1,1343,85806,524,468778,0.118,52.1
Shawn Johnson,8,2,1467,104595,576,3265737,0.378,35.6
Shawn Johnson,8,3,1567,118325,634,382792,0.395,42.0
Shawn Johnson,8,4,1626,198423,686,3069359,0.499,62.0
Shawn Johnson,8,5,1821,214764,726,1758106,0.538,40.8
Shawn Johnson,8,6,1916,106289,766,191363,0.363,57.0
Shawn Johnson,8,7,2071,73524,774,408524,0.393,66.7
Shawn Johnson,8,8,2169,233414,847,321195,0.826,82.3
Shawn Johnson,8,9,2329,152140,971,700655,0.405,87.4
Shawn Johnson,8,10,2441,206187,913,640715,0.547,62.3
Shawn Johnson,8,11,2591,328635,1040,1200395,0.909,62.7
Steve Wozniak,8,1,828,201148,344,281082,-0.114,15.1
Steve Wozniak,8,2,885,225944,397,1976985,-0.128,18.6
Steve Wozniak,8,3,974,106247,362,540163,-0.556,15.6
Steve Wozniak,8,4,1067,104006,420,234341,-0.156,22.2
Belinda Carlisle,8,1,675,25046,260,465991,0.222,22.7
Belinda Carlisle,8,2,715,86410,293,328558,0.192,21.0
Chuck Wicks,8,1,1025,145670,401,155647,0.224,25.5
Chuck Wicks,8,2,1129,530035,451,151892,0.193,27.1
Chuck Wicks,8,3,1207,641744,518,581540,-0.022,43.1
Chuck Wicks,8,4,1247,640352,559,439483,0.404,51.2
Chuck Wicks,8,5,1404,518856,567,354759,0.231,50.5
Chuck Wicks,8,6,1459,452380,617,420802,0.543,58.6
Chuck Wicks,8,7,1611,316991,609,107680,0.606,39.8
Chuck Wicks,8,8,1647,913575,669,1682535,0.158,39.1
Lil' Kim,8,1,1074,162210,478,308859,0.454,57.4
Lil' Kim,8,2,1290,250290,506,202817,0.358,58.4
Lil' Kim,8,3,1262,163133,525,401083,0.484,38.4
Lil' Kim,8,4,1428,187099,547,1508632,0.33,58.0
Lil' Kim,8,5,1552,146672,629,823053,0.192,55.3
Lil' Kim,8,6,1646,290069,601,316333,0.367,57.9
Lil' Kim,8,7,1718,314912,681,198209,0.406,71.3
Lil' Kim,8,8,1809,389181,714,390920,0.125,68.9
Lil' Kim,8,9,1888,169889,764,970895,0.735,82.6
Steve-O,8,1,867,37322,362,2243986,0.316,35.3
Steve-O,8,2,998,46980,432,208371,-0.13,45.9
Steve-O,8,3,1129,80088,462,565065,0.121,35.5
Steve-O,8,4,1183,51780,491,367901,-0.162,51.7
Steve-O,8,5,1307,85185,507,345379,0.187,60.7
Steve-O,8,6,1378,126072,528,1501620,-0.102,53.1
Holly Madison,8,1,728,9082,289,205289,0.133,28.8
Holly Madison,8,2,802,8086,335,694916,0.456,39.0
Holly Madison,8,3,901,8154,371,148197,-0.158,51.6
Holly Madison,8,4,1019,10965,384,271367,0.053,55.3
Melissa Rycroft,8,1,1208,60202,516,190677,0.291,48.2
Melissa Rycroft,8,2,1342,90638,524,79127,0.599,45.1
Melissa Rycroft,8,3,1467,72884,585,317910,0.54,58.4
Melissa Rycroft,8,4,1466,154376,622,902304,0.291,54.6
Melissa Rycroft,8,5,1666,110730,674,310319,0.356,43.0
Melissa Rycroft,8,6,1719,160177,703,632765,0.315,53.4
Melissa Rycroft,8,7,1884,67680,723,452886,0.702,85.6
Melissa Rycroft,8,8,1914,191615,843,548292,0.276,89.7
Melissa Rycroft,8,9,2112,188742,839,129260,0.712,76.4
Melissa Rycroft,8,10,2204,235491,872,863534,0.446,71.4
Melissa Rycroft,8,11,2184,177492,882,275915,0.784,76.0
Ashley Hamiliton,9,1,511,65159,193,30391,0.028,27.5
Debi Mazar,9,1,737,13815,282,43627,0.238,36.2
Debi Mazar,9,2,779,15590,306,43909,0.442,34.3
Debi Mazar,9,3,892,33009,385,596828,0.377,38.3
Melissa Joan Hart,9,1,867,105627,335,268384,0.45,114.7
Melissa Joan Hart,9,2,922,60506,402,492292,-0.086,126.0
Melissa Joan Hart,9,3,1084,82923,386,1459192,0.16,83.0
Melissa Joan Hart,9,4,1136,89117,458,243872,0.593,133.5
Melissa Joan Hart,9,5,1132,140065,506,599466,-0.079,100.3
Melissa Joan Hart,9,6,1316,72268,510,1354655,0.072,94.2
Mark Dacascos,9,1,1055,50782,409,65772,0.299,8.2
Mark Dacascos,9,2,1195,18908,470,276013,0.367,10.8
Mark Dacascos,9,3,1235,40705,473,708063,0.108,9.6
Mark Dacascos,9,4,1350,55351,562,1440869,-0.056,9.5
Mark Dacascos,9,5,1429,64081,572,354671,0.511,16.7
Mark Dacascos,9,6,1472,28275,613,586123,0.671,13.2
Mark Dacascos,9,7,1568,68262,674,112554,0.384,16.0
Chuck Liddell,9,1,809,7155,350,91063,0.173,3.6
Chuck Liddell,9,2,872,16620,321,274388,0.116,6.1
Chuck Liddell,9,3,927,17479,381,167009,0.262,4.0
Chuck Liddell,9,4,953,11793,379,154941,0.277,4.6
Natalie Coughlin,9,1,800,13147,335,83507,0.683,14.9
Natalie Coughlin,9,2,916,8851,353,196351,0.341,13.3
Natalie Coughlin,9,3,998,12764,351,573519,0.554,16.1
Natalie Coughlin,9,4,1034,7707,422,508339,0.448,14.9
Natalie Coughlin,9,5,1091,14370,502,244612,0.444,29.3
Louie Vito,9,1,900,25883,370,292881,0.53,69.0
Louie Vito,9,2,1034,8762,413,198742,0.056,77.4
Louie Vito,9,3,1033,13112,447,138124,0.373,57.5
Louie Vito,9,4,1130,37417,457,484532,-0.129,91.6
Louie Vito,9,5,1290,25691,481,1247146,0.596,90.2
Louie Vito,9,6,1380,40606,550,990252,0.133,117.5
Michael Irvin,9,1,980,280739,355,303807,0.169,48.9
Michael Irvin,9,2,1089,106582,434,414208,0.253,82.9
Michael Irvin,9,3,1140,169905,482,106143,0.275,71.7
Michael Irvin,9,4,1197,347406,500,74458,0.128,79.6
Michael Irvin,9,5,1347,417518,537,319582,0.348,62.1
Michael Irvin,9,6,1412,479578,586,1857377,0.433,112.6
Michael Irvin,9,7,1610,263697,592,577130,0.503,112.4
Joanna Krupa,9,1,1154,20173,464,758566,0.58,6.3
Joanna Krupa,9,2,1251,40821,516,126951,0.138,4.8
Joanna Krupa,9,3,1386,43657,522,73388,0.243,5.3
Joanna Krupa,9,4,1497,56356,610,2472355,0.641,7.4
Joanna Krupa,9,5,1569,80913,650,609974,0.19,5.3
Joanna Krupa,9,6,1660,46332,693,1247449,0.657,8.9
Joanna Krupa,9,7,1773,67024,760,981274,0.312,7.8
Joanna Krupa,9,8,1901,70442,784,214606,0.509,10.5
Joanna Krupa,9,9,2082,72014,777,322180,0.567,11.3
Kathy Ireland,9,1,579,5665,234,318631,0.002,16.3
Kathy Ireland,9,2,625,3172,276,235477,-0.014,12.9
Tom DeLay,9,1,700,6019,293,279146,0.447,49.8
Tom DeLay,9,2,696,6122,270,49042,0.083,64.9
Tom DeLay,9,3,829,6894,316,179740,-0.043,76.8
Macy Gray,9,1,525,4522,201,209734,0.07,44.7
Aaron Carter,9,1,1088,3050,429,104390,1.0,62.1
Aaron Carter,9,2,1228,5850,522,1523095,0.304,67.6
Aaron Carter,9,3,1262,5283,515,444053,0.256,67.8
Aaron Carter,9,4,1420,3334,542,441743,0.187,67.6
Aaron Carter,9,5,1476,8560,659,3743323,0.316,76.0
Aaron Carter,9,6,1607,8357,667,420218,0.315,89.4
Aaron Carter,9,7,1674,5442,625,626904,0.426,114.9
Aaron Carter,9,8,1791,4384,724,1118401,0.433,77.4
Mya,9,1,1294,39881,474,267372,0.417,49.6
Mya,9,2,1358,76857,545,897793,0.39,59.5
Mya,9,3,1490,52068,582,104171,0.499,58.4
Mya,9,4,1664,47802,621,293701,0.972,55.1
Mya,9,5,1705,65477,682,290001,0.711,57.3
Mya,9,6,1850,85607,773,4424503,0.509,83.7
Mya,9,7,1961,94646,809,230445,0.374,60.3
Mya,9,8,2049,118491,853,188690,0.594,110.4
Mya,9,9,2168,80383,913,3046526,0.936,107.4
Mya,9,10,2343,90644,878,65049,0.533,101.5
Donny Osmond,9,1,1243,101838,507,385194,0.734,9.6
Donny Osmond,9,2,1434,89056,599,539970,0.666,10.3
Donny Osmond,9,3,1578,89087,571,187059,0.043,13.7
Donny Osmond,9,4,1651,92696,649,488778,0.193,16.2
Donny Osmond,9,5,1814,86961,759,384578,0.26,16.3
Donny Osmond,9,6,1936,102908,818,454813,0.67,11.0
Donny Osmond,9,7,1991,67578,817,528487,0.563,20.3
Donny Osmond,9,8,2259,110356,865,542014,0.226,21.8
Donny Osmond,9,9,2307,102219,900,966365,0.13,19.7
Donny Osmond,9,10,2435,198709,972,75424,0.779,24.6
Kelly Osbourne,9,1,1218,16535,495,228101,0.536,34.4
Kelly Osbourne,9,2,1299,10569,493,658312,0.558,42.7
Kelly Osbourne,9,3,1445,11558,582,360081,0.436,52.1
Kelly Osbourne,9,4,1499,21503,617,293725,0.339,54.2
Kelly Osbourne,9,5,1622,20227,643,219566,0.236,71.1
Kelly Osbourne,9,6,1743,17633,708,226734,0.736,71.9
Kelly Osbourne,9,7,1825,25500,758,1635933,0.529,79.5
Kelly Osbourne,9,8,1950,17188,809,182932,0.339,60.4
Kelly Osbourne,9,9,2040,27527,774,163071,0.403,61.5
Kelly Osbourne,9,10,2155,24439,892,429990,0.289,74.7
Aiden Turner,10,1,832,3869,353,506182,0.011,28.7
Aiden Turner,10,2,974,1843,387,1812820,0.272,31.2
Aiden Turner,10,3,1056,4731,411,152647,-0.095,31.0
Aiden Turner,10,4,1072,6875,455,165331,0.235,32.1
Shannen Doherty,10,1,748,115571,286,726825,0.576,40.5
Shannen Doherty,10,2,824,179211,318,375983,0.582,56.0
Niecy Nash,10,1,1089,42848,455,65956,-0.015,63.4
Niecy Nash,10,2,1145,37629,458,251680,0.356,89.0
Niecy Nash,10,3,1340,37199,524,48734,0.263,61.7
Niecy Nash,10,4,1406,82675,600,369281,0.161,99.9
Niecy Nash,10,5,1520,55300,644,71049,0.043,96.8
Niecy Nash,10,6,1645,85727,678,322627,0.151,106.2
Niecy Nash,10,7,1641,45524,675,1589083,0.569,110.3
Niecy Nash,10,8,1780,115961,719,83909,0.119,92.3
Buzz Aldrin,10,1,799,3866,322,483191,-0.189,16.6
Buzz Aldrin,10,2,915,9008,408,245347,-0.081,18.1
Buzz Aldrin,10,3,941,11156,379,155027,0.268,26.7
Chad Ochocinco,10,1,1184,52170,444,75492,-0.027,31.3
Chad Ochocinco,10,2,1263,52628,519,425726,-0.141,33.6
Chad Ochocinco,10,3,1369,61311,555,63953,0.225,43.0
Chad Ochocinco,10,4,1431,57978,552,1307423,0.269,49.4
Chad Ochocinco,10,5,1596,67435,626,507713,-0.011,44.6
Chad Ochocinco,10,6,1659,41026,657,428968,0.852,62.3
Chad Ochocinco,10,7,1836,61334,703,534713,0.4,64.0
Chad Ochocinco,10,8,1898,78108,729,1572461,0.301,52.2
Chad Ochocinco,10,9,2052,33391,817,229674,0.266,59.8
Evan Lysacek,10,1,1250,5974,514,587176,0.399,29.1
Evan Lysacek,10,2,1424,3509,560,1111117,0.39,41.4
Evan Lysacek,10,3,1510,4520,570,94954,0.025,30.8
Evan Lysacek,10,4,1622,11205,617,167901,0.296,46.4
Evan Lysacek,10,5,1636,11028,689,167395,0.766,39.5
Evan Lysacek,10,6,1810,13101,773,267304,0.465,54.9
Evan Lysacek,10,7,2015,17950,757,1366641,0.559,53.8
Evan Lysacek,10,8,2050,8938,813,572662,0.528,48.8
Evan Lysacek,10,9,2170,10585,900,95549,0.368,58.6
Evan Lysacek,10,10,2379,9343,963,2510713,0.531,43.4
Pamela Anderson,10,1,1074,8942,396,209341,0.018,32.3
Pamela Anderson,10,2,1155,6865,481,113870,0.241,32.3
Pamela Anderson,10,3,1208,6931,506,606007,0.394,23.1
Pamela Anderson,10,4,1342,10338,544,1329287,0.301,28.4
Pamela Anderson,10,5,1398,10394,561,363556,0.087,43.0
Pamela Anderson,10,6,1487,5275,556,541685,0.751,48.0
Pamela Anderson,10,7,1595,9331,701,104642,0.906,54.5
Nicole Scherzinger,10,1,1293,55905,510,515854,0.624,62.0
Nicole Scherzinger,10,2,1481,72157,535,88899,0.221,48.8
Nicole Scherzinger,10,3,1556,62831,648,375941,-0.06,73.8
Nicole Scherzinger,10,4,1644,87510,676,411144,0.251,66.2
Nicole Scherzinger,10,5,1842,116321,712,432788,0.598,70.0
Nicole Scherzinger,10,6,1834,102034,772,144617,0.764,72.0
Nicole Scherzinger,10,7,1985,146982,818,331827,0.69,77.7
Nicole Scherzinger,10,8,2106,66041,888,326282,0.428,79.3
Nicole Scherzinger,10,9,2362,102469,904,652488,0.298,87.4
Nicole Scherzinger,10,10,2383,76676,953,562978,0.698,71.8
Erin Andrews,10,1,1209,14583,479,386391,0.135,28.2
Erin Andrews,10,2,1362,28259,522,1506837,0.57,42.5
Erin Andrews,10,3,1459,36794,585,4124233,0.247,39.3
Erin Andrews,10,4,1556,44078,626,295469,0.56,34.5
Erin Andrews,10,5,1660,31176,652,999124,-0.005,48.8
Erin Andrews,10,6,1757,37194,687,490613,0.793,33.3
Erin Andrews,10,7,1800,66393,752,540746,0.616,44.1
Erin Andrews,10,8,2071,63374,793,859760,0.208,68.1
Erin Andrews,10,9,2061,46821,804,256910,0.372,43.0
Erin Andrews,10,10,2301,64313,880,830051,0.288,49.4
Kate Gosselin,10,1,927,22355,348,403484,-0.246,75.6
Kate Gosselin,10,2,1002,17394,423,197826,0.102,57.9
Kate Gosselin,10,3,1089,30463,461,251456,0.07,93.3
Kate Gosselin,10,4,1166,25183,486,1238351,0.22,67.6
Kate Gosselin,10,5,1213,15866,491,67469,0.158,104.9
Jake Pavelka,10,1,958,71031,395,134840,0.196,23.4
Jake Pavelka,10,2,1106,201330,453,459720,0.243,30.6
Jake Pavelka,10,3,1161,271925,454,787320,0.047,19.5
Jake Pavelka,10,4,1286,152189,487,663777,0.227,34.2
Jake Pavelka,10,5,1409,342793,538,334756,0.125,26.0
Jake Pavelka,10,6,1416,339174,550,199206,0.225,32.0
David Hasselhoff,11,1,727,190365,281,219207,-0.325,32.8
Florence Henderson,11,1,926,83349,381,264837,0.373,59.1
Florence Henderson,11,2,978,54541,385,494572,0.012,54.8
Florence Henderson,11,3,1108,45647,409,385239,0.412,57.6
Florence Henderson,11,4,1171,66409,506,1123774,0.221,56.0
Florence Henderson,11,5,1287,124216,497,326006,0.429,51.8
Kyle Massey,11,1,1267,113214,557,3348120,0.228,12.0
Kyle Massey,11,2,1352,123226,565,273171,0.443,21.8
Kyle Massey,11,3,1501,123755,565,761036,0.557,22.5
Kyle Massey,11,4,1612,179861,623,665292,-0.015,24.9
Kyle Massey,11,5,1722,174718,686,674003,-0.025,17.4
Kyle Massey,11,6,1726,190771,743,630174,0.642,18.6
Kyle Massey,11,7,1978,132706,817,390382,0.352,20.1
Kyle Massey,11,8,2033,75802,822,426634,0.565,24.3
Kyle Massey,11,9,2205,117989,880,168068,0.58,28.1
Kyle Massey,11,10,2339,229895,890,593701,0.457,34.7
Jennifer Grey,11,1,1293,583829,520,227928,0.288,17.1
Jennifer Grey,11,2,1373,257407,566,1050924,0.331,24.5
Jennifer Grey,11,3,1548,216878,584,2211425,0.347,33.4
Jennifer Grey,11,4,1667,479196,714,258535,0.694,23.6
Jennifer Grey,11,5,1890,799486,688,244873,0.138,25.4
Jennifer Grey,11,6,1931,650545,726,645744,0.565,27.7
Jennifer Grey,11,7,2049,434067,808,968328,0.289,25.8
Jennifer Grey,11,8,2114,303761,835,3337209,0.331,38.8
Jennifer Grey,11,9,2239,643510,944,754334,0.706,38.3
Jennifer Grey,11,10,2438,1064962,944,980830,0.311,33.0
Rick Fox,11,1,1031,480193,426,238580,0.125,43.1
Rick Fox,11,2,1106,1426455,437,1893171,0.181,39.2
Rick Fox,11,3,1322,891890,509,550843,0.485,56.1
Rick Fox,11,4,1307,1423047,518,892907,0.066,40.3
Rick Fox,11,5,1466,710560,573,149498,0.091,41.5
Rick Fox,11,6,1538,1426784,598,1240840,0.821,46.2
Rick Fox,11,7,1633,560560,640,3351012,0.376,56.7
Kurt Warner,11,1,1082,119303,444,500539,0.528,32.6
Kurt Warner,11,2,1201,126727,466,589596,0.037,44.5
Kurt Warner,11,3,1291,150639,545,1176755,0.381,27.7
Kurt Warner,11,4,1345,155678,516,65451,0.024,51.9
Kurt Warner,11,5,1458,176616,633,230058,0.391,38.7
Kurt Warner,11,6,1537,205573,629,124683,-0.184,62.2
Kurt Warner,11,7,1675,136165,628,1210546,0.635,53.5
Kurt Warner,11,8,1796,210509,747,314726,0.783,66.5
Margaret Cho,11,1,877,344,376,201911,0.192,19.4
Margaret Cho,11,2,848,569,359,283135,0.177,27.9
Margaret Cho,11,3,977,900,360,123408,0.251,37.1
Michael Bolton,11,1,826,22795,289,1161570,-0.039,10.7
Michael Bolton,11,2,834,12700,358,417965,-0.032,19.4
Brandy,11,1,1135,24923,425,338741,0.578,45.9
Brandy,11,2,1284,71880,491,120913,0.182,38.1
Brandy,11,3,1329,31603,545,1131406,0.393,48.9
Brandy,11,4,1491,51196,602,697624,0.458,41.1
Brandy,11,5,1608,38581,581,1045219,0.596,36.4
Brandy,11,6,1680,36531,683,494158,0.573,60.8
Brandy,11,7,1734,42709,692,3003329,0.271,56.8
Brandy,11,8,1927,38669,709,648725,0.501,65.6
Brandy,11,9,1984,55935,765,295249,0.328,84.5
The Situation,11,1,869,21689,333,79239,-0.063,36.5
The Situation,11,2,920,21759,375,422150,0.111,38.9
The Situation,11,3,1083,50081,435,445132,0.196,54.8
The Situation,11,4,1164,45896,449,512831,0.025,56.1
Audrina Patridge,11,1,972,8427,401,420875,0.103,63.4
Audrina Patridge,11,2,1113,5066,420,377847,0.783,58.3
Audrina Patridge,11,3,1232,8685,420,191015,0.418,73.1
Audrina Patridge,11,4,1263,3159,511,2405937,-0.083,79.2
Audrina Patridge,11,5,1362,8570,549,619249,0.338,58.5
Audrina Patridge,11,6,1527,9710,539,999808,0.877,55.1
Bristol Palin,11,1,1215,783454,517,1489310,-0.057,36.5
Bristol Palin,11,2,1336,421743,523,269037,0.485,38.8
Bristol Palin,11,3,1485,611318,546,429458,0.219,41.2
Bristol Palin,11,4,1502,805415,637,139081,-0.178,60.0
Bristol Palin,11,5,1660,982537,692,1267965,0.13,66.4
Bristol Palin,11,6,1730,354810,709,276858,0.49,51.8
Bristol Palin,11,7,1830,1096190,768,732225,0.302,54.6
Bristol Palin,11,8,2016,655225,788,384925,0.345,60.7
Bristol Palin,11,9,2154,1288685,847,456945,0.512,54.6
Bristol Palin,11,10,2186,887611,878,2972448,0.361,87.3
Ralph Macchio,12,1,1201,19231,452,1104321,0.268,37.5
Ralph Macchio,12,2,1262,9949,503,576140,0.027,35.4
Ralph Macchio,12,3,1412,18152,553,235312,-0.088,41.5
Ralph Macchio,12,4,1473,26560,599,678410,0.3,59.6
Ralph Macchio,12,5,1546,26304,632,486694,0.136,63.1
Ralph Macchio,12,6,1674,44466,709,156806,0.29,71.2
Ralph Macchio,12,7,1789,24204,716,526997,0.087,43.0
Ralph Macchio,12,8,1885,42219,727,779410,0.237,82.1
Ralph Macchio,12,9,2041,32765,777,1600432,0.206,81.0
Chelsea Kane,12,1,1240,46237,498,631534,0.422,61.4
Chelsea Kane,12,2,1324,34846,520,1168481,0.116,54.2
Chelsea Kane,12,3,1416,51445,573,1136198,0.064,49.8
Chelsea Kane,12,4,1593,36398,630,278894,0.277,65.9
Chelsea Kane,12,5,1674,64409,681,1927990,0.545,67.2
Chelsea Kane,12,6,1817,91732,707,65435,0.663,89.2
Chelsea Kane,12,7,1867,85297,763,320753,0.578,86.5
Chelsea Kane,12,8,1924,42792,796,623818,0.008,110.1
Chelsea Kane,12,9,2024,47513,757,408175,1.0,116.1
Chelsea Kane,12,10,2203,104183,837,446983,0.384,115.4
Kirstie Alley,12,1,1350,63963,484,139412,0.431,33.3
Kirstie Alley,12,2,1332,32225,557,9845691,0.285,40.6
Kirstie Alley,12,3,1468,48239,544,678807,-0.142,34.8
Kirstie Alley,12,4,1686,36640,632,402651,0.133,40.8
Kirstie Alley,12,5,1794,68501,691,889026,0.712,36.5
Kirstie Alley,12,6,1895,97971,743,228693,0.404,52.8
Kirstie Alley,12,7,1950,37315,755,58969,0.594,68.1
Kirstie Alley,12,8,2072,95157,868,1382345,0.428,56.4
Kirstie Alley,12,9,2179,50613,817,654520,0.699,65.9
Kirstie Alley,12,10,2353,59860,957,174580,0.941,80.3
Hines Ward,12,1,1346,22116,569,1673616,-0.047,9.1
Hines Ward,12,2,1405,35747,552,80695,0.417,10.8
Hines Ward,12,3,1530,51855,604,78442,0.002,8.9
Hines Ward,12,4,1660,42910,655,559625,0.179,11.7
Hines Ward,12,5,1816,56303,721,3316389,0.356,10.8
Hines Ward,12,6,1910,38861,755,179153,0.349,12.5
Hines Ward,12,7,2083,56700,808,1660015,0.559,10.4
Hines Ward,12,8,2156,72040,880,430565,0.636,14.1
Hines Ward,12,9,2216,96741,905,200209,0.531,13.5
Hines Ward,12,10,2384,105872,969,953134,0.679,10.7
Sugar Ray Leonard,12,1,911,72061,350,245483,0.272,40.5
Sugar Ray Leonard,12,2,977,36714,402,333637,-0.071,47.3
Sugar Ray Leonard,12,3,999,38285,397,274903,0.471,64.8
Sugar Ray Leonard,12,4,1021,59387,451,75833,0.546,53.4
Chris Jericho,12,1,1018,6494,397,880861,0.774,13.2
Chris Jericho,12,2,1144,3053,428,6355253,0.344,15.2
Chris Jericho,12,3,1199,5025,485,277631,0.19,16.5
Chris Jericho,12,4,1179,6070,491,615521,0.22,17.6
Chris Jericho,12,5,1360,10122,566,471436,-0.05,24.5
Chris Jericho,12,6,1491,6343,597,186816,-0.068,23.9
Petra Nemcova,12,1,907,12740,377,583132,-0.076,19.9
Petra Nemcova,12,2,997,48974,401,1379732,0.074,22.0
Petra Nemcova,12,3,1121,51002,447,1500989,0.288,22.4
Petra Nemcova,12,4,1154,43864,459,580459,0.639,16.5
Petra Nemcova,12,5,1239,27339,514,1246657,0.261,28.6
Mike Catherwood,12,1,771,508,318,186806,-0.04,66.9
Mike Catherwood,12,2,823,865,329,331124,0.227,70.3
Romeo,12,1,1089,131361,435,1391712,0.337,51.3
Romeo,12,2,1158,82062,480,364858,0.329,65.9
Romeo,12,3,1297,61129,531,306857,0.192,45.5
Romeo,12,4,1340,60265,573,166857,0.386,79.0
Romeo,12,5,1574,141218,602,268327,0.395,62.2
Romeo,12,6,1620,113966,605,681438,0.314,64.2
Romeo,12,7,1665,133463,672,80335,0.283,78.2
Romeo,12,8,1821,142900,664,1720449,0.476,98.5
Wendy Williams,12,1,772,1962,308,406382,0.01,17.6
Wendy Williams,12,2,873,2345,388,1175941,0.47,19.7
Wendy Williams,12,3,976,1328,376,996988,-0.02,26.9
Kendra Wilkinson,12,1,1097,86340,389,132444,-0.065,28.1
Kendra Wilkinson,12,2,1161,88063,426,378624,-0.136,28.5
Kendra Wilkinson,12,3,1208,54612,483,31750,0.613,27.7
Kendra Wilkinson,12,4,1308,37889,510,248898,0.216,22.8
Kendra Wilkinson,12,5,1454,137013,585,570768,-0.088,23.9
Kendra Wilkinson,12,6,1466,126040,609,223889,0.761,34.5
Kendra Wilkinson,12,7,1579,158624,600,235461,0.151,33.7
Elisabetta Canalis,13,1,744,18164,309,237666,-0.278,32.0
Elisabetta Canalis,13,2,867,9544,306,857369,0.263,27.1
David Arquette,13,1,1047,23039,386,949783,0.068,92.6
David Arquette,13,2,1100,24485,487,764120,0.161,78.0
David Arquette,13,3,1183,16170,499,83967,0.877,110.3
David Arquette,13,4,1288,28029,515,105744,0.336,107.7
David Arquette,13,5,1440,29372,545,1855370,0.633,119.9
David Arquette,13,6,1528,27223,593,128310,0.438,79.2
David Arquette,13,7,1599,21127,645,144274,0.611,144.9
Ricki Lake,13,1,1278,10502,481,936241,0.414,60.9
Ricki Lake,13,2,1304,9422,541,529731,0.35,44.5
Ricki Lake,13,3,1444,13097,570,2178965,0.243,43.1
Ricki Lake,13,4,1552,12621,631,1071216,0.402,65.9
Ricki Lake,13,5,1686,4386,697,4115496,0.511,53.6
Ricki Lake,13,6,1770,10461,733,456696,0.214,53.1
Ricki Lake,13,7,1896,7846,778,138114,0.53,81.7
Ricki Lake,13,8,1999,9797,815,545322,0.58,71.7
Ricki Lake,13,9,2155,6797,787,607028,0.738,79.9
Ricki Lake,13,10,2153,15425,879,1891715,0.609,101.5
J.R. Martinez,13,1,1359,230380,516,130049,0.418,60.2
J.R. Martinez,13,2,1436,99304,602,68983,0.074,91.7
J.R. Martinez,13,3,1563,212999,595,1180135,0.26,72.9
J.R. Martinez,13,4,1658,259386,676,1645706,0.219,104.2
J.R. Martinez,13,5,1750,209780,709,207272,0.656,109.1
J.R. Martinez,13,6,2005,259028,716,1393447,0.261,133.3
J.R. Martinez,13,7,2052,226827,758,698926,0.114,116.2
J.R. Martinez,13,8,2154,247108,848,1759545,0.209,97.6
J.R. Martinez,13,9,2233,390612,916,464875,0.747,107.2
J.R. Martinez,13,10,2453,422084,972,1349995,0.792,95.2
